"category","text"
"plant","Microbiomes of Velloziaceae from phosphorus-impoverished soils of the campos rupestres, a biodiversity hotspot"
"plant","Metagenomics study of endophytic bacteria in Aloe vera using next-generation technology"
"plant","New insight to the role of microbes in the methane exchange in trees: evidence from metagenomic sequencing"
"plant","Decrypting phytomicrobiome of the neurotoxic actinorhizal species, Coriaria myrtifolia, and dispersal boundary of Frankia cluster 2 in soil outward compatible host rhizosphere"
"plant","Taxonomic structure and functional association of foxtail millet root microbiome"
"plant","Microbiome diversity, composition and assembly in a California citrus orchard"
"plant","Microbiome and infectivity studies reveal complex polyspecies tree disease in Acute Oak Decline"
"plant","Temporal Dynamics of Endogenous Bacterial Composition in Rice Seeds During Maturation and Storage, and Spatial Dynamics of the Bacteria During Seedling Growth"
"plant","Baseline survey of the anatomical microbial ecology of an important food plant: Solanum lycopersicum (tomato)"
"plant","The Grapevine Microbiome to the Rescue: Implications for the Biocontrol of Trunk Diseases"
"plant","Unexpected diversity during community succession in the apple flower microbiome"
"plant","Using RNA-Sequencing Data to Examine Tissue-Specific Garlic Microbiomes"
"plant","Microbial and functional diversity of Cyclopia intermedia rhizosphere microbiome revealed by analysis of shotgun metagenomics sequence data"
"plant","Rhizosphere microorganisms can influence the timing of plant flowering"
"plant","Microbial communities on flower surfaces act as signatures of pollinator visitation"
"plant","Unraveling the Tropaeolum majus L. (Nasturtium) Root-Associated Bacterial Community in Search of Potential Biofertilizers"
"plant","Microbiome diversity, composition and assembly in a California citrus orchard"
"plant","Omics approaches in Allium research: Progress and way ahead"
"plant","The pollen virome of wild plants and its association with variation in floral traits and land use"
"plant","Inorganic Chemical Fertilizer Application to Wheat Reduces the Abundance of Putative Plant Growth-Promoting Rhizobacteria"
"plant","Metagenomic analysis of the dynamical conversion of photosynthetic bacterial communities in different crop fields over different growth periods"
"plant","Baseline survey of the anatomical microbial ecology of an important food plant: Solanum lycopersicum (tomato)"
"animal","The microbiome of the buffalo digestive tract"
"animal","The rumen microbiome: a crucial consideration when optimising milk and meat production and nitrogen utilisation efficiency"
"animal","Metagenomic investigation of gastrointestinal microbiome in cattle"
"animal","Multi-omics reveals that the rumen microbiome and its metabolome together with the host metabolome contribute to individualized dairy cow performance"
"animal","ADDAGMA: A database for domestic animal gut microbiome atlas"
"animal","Identification of 146 Metagenome-assembled Genomes from the Rumen Microbiome of Cattle in Japan"
"animal","Gene-centric metagenomics of the fiber-adherent bovine rumen microbiome reveals forage specific glycoside hydrolases"
"animal","The gastrointestinal microbiome in dairy cattle is constrained by the deterministic driver of the region and the modified effect of diet"
"animal","Taxonomy and Functional Diversity in the Fecal Microbiome of Beef Cattle Reared in Brazilian Traditional and Semi-Intensive Production Systems"
"animal","Metagenomics analysis revealed the distinctive ruminal microbiome and resistive profiles in dairy buffaloes"
"animal","Community structures of fecal bacteria in cattle from different animal feeding operations"
"animal","Metatranscriptomic Profiling Reveals Linkages between the Active Rumen Microbiome and Feed Efficiency in Beef Cattle"
"animal","The functionality of the gastrointestinal microbiome in non-human animals"
"animal","Bovine Genome-Microbiome Interactions: Metagenomic Frontier for the Selection of Efficient Productivity in Cattle Systems"
"animal","High-throughput Methods Redefine the Rumen Microbiome and Its Relationship with Nutrition and Metabolism"
"animal","Metagenomics of rumen bacteriophage from thirteen lactating dairy cattle"
"animal","Investigating Effects of Tulathromycin Metaphylaxis on the Fecal Resistome and Microbiome of Commercial Feedlot Cattle Early in the Feeding Period"
"animal","Interrogating the bovine reproductive tract metagenomes using culture-independent approaches: a systematic review"
"animal","Symposium review: The uterine microbiome associated with the development of uterine disease in dairy cows"
"animal","Zoonotic disease and virome diversity in bats"
"animal","Comparative analysis of rodent and small mammal viromes to better understand the wildlife origin of emerging infectious diseases"
"animal","Bats Are an Untapped System for Understanding Microbiome Evolution in Mammals"
"animal","You are more than what you eat: potentially adaptive enrichment of microbiome functions across bat dietary niches"
"animal","The Upper Respiratory Tract Microbiome Network Impacted by SARS-CoV-2"
"animal","Characterization of Pipistrellus pygmaeus Bat Virome from Sweden"
"animal","Virome of Bat Guano from Nine Northern California Roosts"
"animal","Is there convergence of gut microbes in blood-feeding vertebrates?"
"animal","The virome of German bats: comparing virus discovery approaches"
"animal","Novel Circoviruses Detected in Feces of Sonoran Felids"
"animal","Unravelling the Single-Stranded DNA Virome of the New Zealand Blackfly"
"animal","Comparative Analyses of Vertebrate Gut Microbiomes Reveal Convergence between Birds and Bats"
"animal","Comparing Microbiome Sampling Methods in a Wild Mammal: Fecal and Intestinal Samples Record Different Signals of Host Ecology, Evolution"
"animal","Viral Metagenomic Profiling of Croatian Bat Population Reveals Sample and Habitat Dependent Diversity"
"animal","Hologenomic adaptations underlying the evolution of sanguivory in the common vampire bat"
"animal","Bacteria related to tick-borne pathogen assemblages in Ornithodoros cf. hasei (Acari: Argasidae) and blood of the wild mammal hosts in the Orinoquia region, Colombia"
"animal","The presence of Pseudogymnoascus destructans, a fungal pathogen of bats, correlates with changes in microbial metacommunity structure"
"animal","First identification of mammalian orthoreovirus type 3 by gut virome analysis in diarrheic child in Brazil"
"animal","Fecal microbiota of different reproductive stages of the central population of the lesser-long nosed bat, Leptonycteris yerbabuenae"
"soil","The chemodiversity of paddy soil dissolved organic matter correlates with microbial community at continental scales"
"soil","Comparative metagenomics of anode-associated microbiomes developed in rice paddy-field microbial fuel cells"
"soil","Massively parallel single-cell genomics of microbiomes in rice paddies"
"soil","Soil bacterial community composition in rice-fish integrated farming systems with different planting years"
"soil","Heterogeneity of soil bacterial and bacteriophage communities in three rice agroecosystems and potential impacts of bacteriophage on nutrient cycling"
"soil","Consistent responses of soil microbial taxonomic and functional attributes to mercury pollution across China"
"soil","Abundance, composition and activity of denitrifier communities in metal polluted paddy soils"
"soil","Important ecophysiological roles of non-dominant Actinobacteria in plant residue decomposition, especially in less fertile soils"
"water","Freshwater monitoring by nanopore sequencing"
"water","Phage-centric ecological interactions in aquatic ecosystems revealed through ultra-deep metagenomics"
"water","Next-Generation High-Throughput Sequencing to Evaluate Bacterial Communities in Freshwater Ecosystem in Hydroelectric Reservoirs"
"water","Genomic and metagenomic insights into the microbial community of a thermal spring"
"water","Microbiome Dynamics in a Large Artificial Seawater Aquarium"
"water","Population structure of an Antarctic aquatic cyanobacterium"
"water","Metagenomic insights into particles and their associated microbiota in a coastal margin ecosystem"
"water","Key microbial drivers in Antarctic aquatic environments"
"water","Metagenomics Analysis to Investigate the Microbial Communities and Their Functional Profile During Cyanobacterial Blooms in Lake Varese"
"water","Polinton-like viruses are abundant in aquatic ecosystems"
"plant","Metagenomes, metatranscriptomes and microbiomes of naturally decomposing deadwood"
"plant","Complementary Roles of Wood-Inhabiting Fungi and Bacteria Facilitate Deadwood Decomposition"
"animal","Leishmania infantum infection does not affect the main composition of the intestinal microbiome of the Syrian hamster"
"animal","Effect of Clindamycin on Intestinal Microbiome and Miltefosine Pharmacology in Hamsters Infected with Leishmania infantum"
"animal","Succession in the gut microbiome following antibiotic and antibody therapies for Clostridium difficile"
