"col_0","col_1","col_2","col_3","col_4"
"ERS2254775","soil","""NA, Norway""","{arctic-alpine ecosystems,  micro-topographic gradients,  elevational gradients,  1600m,  ridge,  biogeography,  west,  middle,  Norwegian Scandes,  climate regions}","Surface soil samples"
"ERS2294843","animal","""Graz, GPS+, Austria""","{cutaneous squamous cell carcinoma (cSCC),  Comparative microbiota profiling,  cutaneous tumors,  Staphylococcus aureus,  human-associated,  human-skin,  Skin Cancer Microbiome,  Homo sapiens}","human cSCC"
"ERS2319611","plant","""NA, Italy""","{grapevine cultivars, Italian Alps,  Cabernet Sauvignon,  grape microbiome; Soil,  Vineyard}","Cabernet Sauvignon  cultivars "
"ERS2408731","soil","""GPS+, Colombia""","{rhizosphere microbiome,  Forest soil,  common bean,  Phaseolus vulgaris,  plant domestication,  ancestral bean accessions,  modern bean accessions,  bulk soil}","Phaseolus vulgaris root soil "
"ERS2419826","animal","""Canary Island, Spain""","{Aleurodicus floccissimus,  Arsenophonus,  Wolbachia,  secondary endosymbionts,  bacteriome enriched samples}","Aleurodicus floccissimus bacteriomes"
"ERS2487559","plant","""nan""","{In-planta sporulation,  alder-Frankia-ectomycorrhizae,  tripartite symbiosis,  host-partner interactions}","alder-Frankia-ectomycorrhizae"
"ERS2514217","plant","""Iran""","{Microbiota,  Citrus sinensis,  Citrus Decline Disease,  Candidatus }","Citrus sinensis root"
"ERS2528458","plant","""Pulheim, GPS+, Germany""","{root-associated microbial community,  natural Arabidopsis thaliana populations,  soil,   root-episphere,  root-endosphere}","Arabidopsis Root Episphere"
"ERS2579755","animal","""nan""","{Homo sapiens,  atopic dermatitis (AD),  healthy controls (HC),  day 0,  coal tar treatment,  female}","skin inner elbow"
"ERS2596331","other","""Brest (GPS+), France""","{Marine Biome,  electrotroph bacteria,  ennoblement,  bacterial community,  stainless steel coupon,  one week,  30°C,  recirculating seawater tank,  replicate 3}","stainless steel coupon"
"ERS2596724","animal","""nan""","{Hirundo rustica,  Faecal microbiota,  passerine bird nestlings,  barn swallow,  gut microbiota (GM)}","Hirundo rustica faeces"
"ERS2627374","other","""GPS+, France""","{Acid mine drainage,  water,  field-pilot bioreactor,  biogenic precipitate,  water from bioreactor}",""
"ERS2638594","water","""GPS+, USA""","{simulated hot water premise plumbing,  drinking water,  premise plumbing,  control rig run constantly at 39°C, }","water premise plumbing"
"ERS2647792","other","""GPS+, Lebanon""","{Anopheles and Aedes associated bacteria,  gut bacteria,  mosquitoes,  Larval water,  sugar feeding source and adult mosquito-guts}","Sugar solution"
"ERS2678141","other","""Brussels, Belgium""","{wooden barrel surface microbiota,  microbial ecosystems,  interior surfaces of wooden barrels,  barrels for lambic beer production}","interior wooden barrels"
"ERS2679589","plant","""GPS+, USA""","{rhizoplane,  endosphere,   wild Arabidopsis accessions,  soil,  roots}","Arabidopsis thaliana root"
"ERS2715407","other","""Aland, Finland""","{Melitaea cinxia,  bacterial microbiota sequenced from technical negative control,  silk-associated microbiota,   wild-collected/ laboratory-reared,  butterfly}","technical negative control"
"ERS2781891","animal","""Dhaka, Bangladesh""","{gut metagenome,  Enterotoxigenic E coli (ETEC),  Asymptomatic and symptomatic ETEC infected subjects,  humans,  faeces}","faeces ETEC carrier"
"ERS2852855","soil","""GPS+, China""","{soil metagenome,  agricultural soil,  wheat,  antibiotic resistance genes,  long-term continuous manure amendments,  farmland soil}","agricultural soil"
"ERS2875790","soil","""GPS+, China""","{soil metagenome,  grassland soil,  fungal communities,  weeds}","grassland soil sample"
"ERS2953596","animal","""UK""","{Treponema pallidum subsp. pallidum SS14,  UK Syphilis samples,  clinical specimens}","clinical Syphilis specimens"
"ERS2955602","animal","""GPS+, South Korea""","{human metagenome,  diabetic foot tissue,  Diabetic foot ulcer (DFU),  skin,  subject 13}","diabetic foot tissue "
"ERS3041251","soil","""EAST ANGLIA, UK""","{Arabidopsis thaliana,  fraction_rhizosphere1_12H,  root microbiome,  root exudates}","Arabidopsis thaliana rhizosphere"
"ERS3049047","water","""Gräsö, (GPS+) Sweden""","{rock pools,  temporary waterbodies,  water}","rock pool water"
"ERS3208647","other","""GPS+, France""","{wastewater/sludge,  stool,  Human sewage,  human enteric viruses}","sewage"
"ERS3223888","soil","""Shana (GPS+), Oman""","{soil crust metagenome,  soil biocrust,  sand,  photosynthetic microbial assemblages,  cyanocrust}","cyanocrust soil"
"ERS330968","other","""GAZ  (GPS+), USA""","{house dust,  winter,  balcony,   Adam's house,  Winter,  dust}","balcony house dust"
"ERS3330085","animal","""nan""","{insect metagenome, invertebrate model,  Galleria mellonella,  Enterococcus,  commensals,  bait grade}","Galleria larval skin"
"ERS3339139","soil","""Netherlands""","{soil metagenome,  conditioned soil,  plants,  plant-soil feedback,  }","grassland soil sample"
"ERS3380051","animal","""Stcokholm, (GPS+) Sweden""","{gut metagenome,  Human gut,  Sigmoid mucosa,  pinch biopsy,  Fecal samples,  colon biopsies,  mucosal tissue}","human colon biopsy"
"ERS3566378","other","""San Francisco (GPS+), USA""","{fecal material,  human fetal meconium,  enviromental control,  Moistened swab used to vigorously sample surgical tray for 30s}","surgical tray"
"ERS3651452","soil","""Saronic Gulf, Greece""","{oil contamination,  oil-degrading bacterial genera,  beach,  sediment}","Coastal sediment samples"
"ERS3724748","soil","""GPS+Vredepeel, Netherlands""","{soil metagenome,  Soil bacteria suspension,  volatile organic compounds,  colonization of sterile agricultural soils, }","Soil bacteria suspension"
"ERS3905598","other","""Hong Kong, China""","{surface,  wooden cutting board,  wet market,  }","wooden cutting board"
"ERS3968312","other","""nan""","{biogas reactors,  sewage treatment plants,  }","biogas reactor influx/effluent"
"ERS4141776","other","""(GPS+) Sweden""","{bioreactor metagenome,   aerobic granular sludge sequencing batch reactor,  wastewater/sludge,  acetate-containing nutrient solution}","acetate-containing nutrient solution"
"ERS4212122","animal","""GPS+, South Korea""","{Bos taurus,  fecal microbiota transplantation,  calf diarrhea,  Rectal luminal content,  longitudinal,  calf rectal,  luminal samples}","Rectal luminal content"
"ERS441223","soil","""GAZ  (GPS+), USA""","{temperate coniferous forest biome,  forest soil,  wildfire disturbance,  community assembly,  not burned 16 weeks}","Nemergut wildfire soils"
"SRS1014520","soil","""Mexico:Puebla state, Alchichica""","{stromatolite metagenome,  lake Alchichica,  Metagenome or environmental,  Microbialite fragment,  northern shore,  15m depth}","surface microbialite grains"
"SRS1024444","water","""Brazil: Bahia""","{freshwater metagenome,  Paraguaçú River,  water,  freshwater,  northeast  Brazil, }","Paraguaçú River water"
"SRS1039686","water","""USA: Lake Texoma""","{freshwater,  lake,  water,  Freshwater microcosms,  invasions}","Lake Texoma water"
"SRS1044740","other","""nan""","{Lacticaseibacillus rhamnosus,  Dietary supplements Metagenome,  product}","Lactobacillus rhamnosus supplement"
"SRS1089855","animal","""Burkina Faso: Vallee du Kou""","{mosquito metagenome,  Wolbachia Metagenomic,  Anopheles coluzzii,  whole body without head, }","mosquito sans head"
"SRS1120068","other","""China:Nanjing""","{biofilm metagenome,  submerged macrophytes,  flume,  bionic plant in static water}","bionic plant biofilm"
"SRS1153142","other","""USA: Ann Arbor""","{activated carbon metagenome,  Drinking water treatment plant metagenome,  dual media filters}","filter media"
"SRS1179796","other","""Luxembourg: Belvaux""","{bioreactor metagenome,  anaerobic,  mesophilic CSTR reactor}","sub-sampling from reactor"
"SRS1213121","other","""Russia: Moscow region""","{activated sludge metagenome,  wastewater,  wastewater treatment plant}","WWTP activated sludge"
"SRS1257654","water","""Melboune, Australia""","{faecal contamination,  ducks,  source water}","source water samples"
"SRS1311772","soil","""Australia: Sydney""","{soil metagenome,  Bacterial communities,  soil with fertilizer,  biochar particles}","coated biochar particles "
"SRS1329402","animal","""USA: Los Angeles, Mar Vista""","{beetle metagenome,  beetle ecto and endomicrobiome,  Entomophilic Nematodes}","whole scarab beetles"
"SRS1378863","animal","""USA:Fairfiled County, CT, Junction of Rt. 37/71""","{insect gut metagenome,  insecta-associated,  Heterorhabditis megidis nematodes,  Galleria mellonella,  larvae}","Galleria mellonella larvae"
"SRS1395562","plant","""Belgium: Ghent""","{Populus tremula x Populus alba,  rhizosphere,  endosphere,  bacterial microbiomes }","Populus leaf"
"SRS1413095","animal","""Papua New Guinea""","{coral reef metagenome,  coral skeleton}","coral skeletons"
"SRS1482909","plant","""USA: Lake Alfred, FL""","{rhizosphere metagenome,  healthy rhizopalne,  citrus,  citrus rhizosphere}","healthy citrus rhizopalne"
"SRS1533623","soil","""China:Harbin,Heilongjiang Province""","{nitrogen fertilized soil}","soil sample"
"SRS1539612","soil","""Switzerland""","{soil metagenome,  Alpine grassland soil,  western Swiss Alps,  Temperate grassland}","Sieved, dried soil"
"SRS1585587","soil","""USA: North Dakota, Cottonwood Lake Study Area""","{sediment,  Winter,  wetland sediments,  Prairie Pothole Region (PPR),  freshwater,  methanogens  }","Wetland Sediments"
"SRS1606688","water","""China:Lake Taihu""","{freshwater,  picoeucaryotes,  environmental,  Chinese freshwater,  winter,  large shallow lakes,  photosynthetic eukaryotes,  flow cytometry sorted}","Lake Taihu water"
"SRS1631159","other","""United Kingdom: University of Hudderfield""","{Canal sediment,  soil,  biofilm,  surface deposits,  irradiated graphite}","13C doped graphite"
"SRS1632690","other","""GPS+ United Kingdom""","{mixed culture,  pH 13 biofilm,  Hyperalkaline biofilm,  ISA ,  ILW-GDF}","pH 13 biofilm"
"SRS1690930","plant","""USA: Potomac River, Maryland""","{plant,  Submerged Aquatic Vegetation,  leaf,  Vallisneria,  Vegetation,  salinity gradient}"," Vallisneria leaf"
"SRS1708509","animal","""China: Hohhot""","{gut,  Chicken,  Antibiotic,  Feed-additive probiotics,  intestinal microbiota,  broiler chicken,  Fecal microbiota}","chicken faeces"
"SRS1719896","animal","""Fiji: northwest ocean, GPS ""","{Turbinaria reniformis,  Acropora millepora,  microbiome,  pooled sample,  coral,  coral microbiome,  coral physiology,  }","pooled coral"
"SRS1775658","water","""United Kingdom: Bromborough Doc""","{Landfill,  leachate,  microcosm,  wastewater, }","landfill leachate"
"SRS1783866","plant","""USA:California,Bodega Harbor""","{plant,  leaf,  Zostera marina,  harbour,  marina,  seagrass beds,  intrazone,  }","Zostera marina leaf/marina seagrass leaf"
"SRS1897032","other","""South Korea: Seoul""","{Air,  dust,  DECEMBER 2014,  ASIAN DUST EVENT}","air sample "
"SRS1937352","plant","""USA: Quincy, FL""","{citrus grove,  leaf,  tree,  Citrus x tangelo cv. Honeybell,  Huanglongbing,  asymptomatic,  fall,  Liberibacter}","asymptomatic citrus leaf"
"SRS1958714","soil","""United Kingdom: Tyne estuary""","{sediment,  estuary sediment,  Tyne,  166 h,  CS,  Temperature shifts,  reservoir souring,  oil recovery}","Tyne estuary sediment"
"SRS2028154","plant","""GPS+ Italy""","{Root tissues,  ungrafted Vitis vinifera,  Grape Rootstock,  root system,  bacterial community, Oltrepo' Pavese vineyard,  north Italy,  root tissues rhizospheric soil}","grape root tissue"
"SRS2046798","animal","""Italy:Rome""","{human gut,  Gut microbiota,  Mediterranean,  Feces,  Homo sapiens,  fecal samples,  JIA patients,  inactive disease,  and in persistent activity}","feces JIA patient"
"SRS2053216","other","""Mexico: Monterrey""","{Leach,  anaerobic digester,  biogas fermenter,  Methanogens,  biogas,  time series,  feedstock}","biogas fermenter leach"
"SRS2093773","animal","""nan""","{Wolbachia infected Male,  Drosophila melanogaster,  0-2 week old adult,  Whole organism,  upd-Gal4; Cyo/Sco; UAS-hPABP-Flag}","Wolbachia-infected, Male, Drosophila"
"SRS2103313","soil","""Brazil, GPS+""","{Rhizos_Soil_P102,  rhizosphere,  maize rhizosphere,  phosphate fertilizers,  field  }","maize rhizosphere"
"SRS2103696","other","""China: Songzi, Hubei""","{fermented grains,  stacking and alcohol fermentation,  liquor making,  food}","fermented grains"
"SRS2111073","soil","""Italy: Motizza, field""","{soil,  CHL1x35d_3,  North-Italian,  agricultural soil,  pesticides,  ecotoxicological,  soil bacterial diversity,  chlorpyrifos,  }","chlorpyrifos-treated agricultural soil"
"SRS2118308","animal","""USA, GPS+""","{Ixodes scapularis,  PIXR,  gut,  tick gut,  black-legged tick,  }","Ixodes scapularis gut"
"SRS2133427","soil","""USA:Fort Ellis in Bozeman, Montana""","{agricultural soil,  soil,  farming system,  climate change,   wheat streak virus,  Conventional chemical,  block 3,  Field soil,  winter wheat plots}"," Field soil"
"SRS2133921","soil","""USA: California, Parlier, Kearney Agricultural Research and Extension Center""","{plant,  Farmland,  Field,  Soil Kearney,  Sorghum bicolor,  plant-associated,  drought,  root associated microbiomes,  grass species}","Sorghum bicolor root"
"SRS2147178","soil","""China:Jiangsu""","{shrimp gut,  sediment microbiota of freshwater shrimp pond,  sediment,  Macrobrachium nipponense,  gut microbiota}","sediment freshwater-shrimp pond"
"SRS2152041","other","""Germany: Kiel""","{fish,  fish hatchery,  water,  Dicentrarchus labrax,  22 days post hatching,  full body,  rotifers,  European sea bass,  yolk-sac larvae,  Poly-ß-hydroxybutyrate,  HFF_tank_3}","tank water"
"SRS2162869","plant","""USA:Canal Point, FL""","{Saccharum spp.,  young leaf shoots,  tissue culture,  cell nuclei,  sugarcane cultivar}","young leaf shoots"
"SRS2185197","animal","""nan""","{urine,  urinary tract infection,  human,  female,  Homo sapiens,  uropathogenic,  }","UTI urine"
"SRS2196696","other","""USA: Hawaii, Mauna Loa""","{air,  3407m,  alpine,  volcanic mountain,  fungal propagules,  }","air filters"
"SRS2213073","soil","""Taiwan: Taitung""","{terrestrial mud volcano,  sediment,  methanotrophy,  terrestrial ferruginous,  sulfate-deficient mud volcano, southeastern Taiwan}","volcano mud"
"SRS2213165","animal","""Norway:Dal,Furuseth AS""","{Sheep,  ovine,  rumen,  long-tailed Norwegian white sheep,  Nordic short-tailed Spel sheep,  central Norway,  rumen digesta particles,  mucosa}","rumen probe"
"SRS2285821","plant","""Korea: Jeju""","{Endosphere, Solanum lycopersicum,  root,  soil,  tomato}","tomato endosphere"
"SRS2311847","soil","""Canada: Nova Scotia""","{Yurgel blueberry,  soil,  Vaccinium angustifolium,  bulk soils,  rhizosphere,  }","blueberry habitat soil"
"SRS2393096","animal","""USA: Ithaca, NY""","{gut,  cropland,  orchard,  Drosophila melanogaster,  male,  }","male Drosophila melanogaster"
"SRS2421430","animal","""United Arab Emirates: Al Ain, Abu Dhabi""","{upper respiratory tract,  dromedary camel,  United Arab Emirates,  live animal market,   Abu Dhabi,  MERS-CoV}","camel spit"
"SRS2482956","soil","""Denmark: Southern Zealand, agricultural field in Faardrup, plow layer""","{soil,  hydrated surface / agar medium,  terrestrial,  aerobe,  surfaces, }","soil microbiota agar"
"SRS2486028","other","""USA: Tucson, Arizona""","{Ecoli,  Sflex,  mixed microbiomes,  mixing pairs,  composite samples,  ATCC}","ATCC E.coli composite"
"SRS2500564","animal","""Finland: Tvarminne archipelago""","{ant,  Formica exsecta,  nest,  nest material,  bacteria}","ant nest material"
"SRS2506915","other","""Sweden: GPS+""","{anaerobic digester,  CD3T,  effluent,  sludge,  Sweden,  wastewater}","anaerobic digester effluent"
"SRS2523069","soil","""Peru: Puca Glacier chronosequence""","{soil,  Early successional soil,  Glacier,  chronosequence,  recently deglaciated soils,  N+P addition}","recently deglaciated soils"
"SRS2548907","animal","""China:Zhejiang Province""","{pig gut,  female,  Faecal samples,  Jinhua pigs,  gut microbiome,  }","Jinhua pig faeces"
"SRS2576193","animal","""Rhode Island, URI Blount Aquatic Pathology Lab""","{fish,  Poecilia sphenops,  Aquatic Pathology,  aquaculture,  Prophylactic antibiotics,  biotic resistance,  black molly,  Phaeobacter inhibens S4Sm,  Bacillus pumilus RI06-95, }","Poecilia sphenops body"
"SRS2578369","animal","""Japan: GPS""","{invertebrate,  Daphnia magna,  holobiont assembly,  assembly dynamics,  microbiota inocula, }","inoculated Daphnia magna"
"SRS2584135","plant","""USA: Knoxville""","{plant,  deciduous forest,  plantation,  plant stem,  Populus deltoides,  niches }","Populus deltoides stem"
"SRS2593563","soil","""China:Nanjing,Xiamafang""","{Fusarium oxysporum,  pot culture,  soil,  sample depth,  Myxobacteria, }","pot soil"
"SRS2605722","animal","""USA:California,Davis""","{feces,  Canis lupus familiaris,  animal-associated,  host-associated,  Canine fecal samples,  preservation}","dog feces"
"SRS2613670","soil","""Argentina: Nothofagus forest""","{Pool,  nothofagus,  litter bacteria,  N fertilization,  leaf litter,  forest soil,  Nitrogen,  litter laye,  Patagonian forest,  decomposer }"," nothofagus leaf litter"
"SRS2636095","other","""USA: GPS""","{PCR Water,  USA,  Biological variation,  technical variation, }","PCR water"
"SRS2638483","water","""China:Longyan""","{riverine,  Landi intake,  Tingjiang River,  dry season,  wet season,  July}"," Tingjiang river water"
"SRS2658459","animal","""USA: Minnesota, Waseca""","{nematode,  soil,  Soybean,  Spring,  soybean cyst nematode,  soybean-corn crop rotations, }","soybean cyst nematode"
"SRS2696509","other","""Belgium: Brussels, Sint-Gillis""","{Cricket feed,  food,  Gryllodes sigillatus,  rearing feed and substrate,  fresh crickets,  processed crickets}","cricket rearing feed"
"SRS2714136","soil","""Mexico: Cuatro Cienegas""","{marine sediment,  microbialite,  oligotrophic lake,  Pozas Azules,  aquatic environments}","microbialite marine sediment"
"SRS2721682","other","""nan""","{air,  indoor,  Airplane,  F9,  air and touch surface,  FlyHealthy study}","F9 airplane air"
"SRS2740017","animal","""Estonia""","{fish gut,  temperate decidious forest,  freshwater river,  intestine,  fish-gut associated,  wild brown trout,  Salmo trutta}","brown trout GIT"
"SRS2763081","animal","""United Kingdom: Liverpool""","{human nasopharyngeal,  Homo sapiens,  nasal,  day 29,  influenza vaccine,  Streptococcus pneumoniae,  nasal microbiota,  }","human nasopharyngeal"
"SRS2768809","animal","""USA: Houston""","{mosquito,  whole animal,  lab-reared,  field collected,  Aedes aegypti}","whole Aedes aegypti"
"SRS2776278","other","""USA:pennsylvania,Philadelphia""","{air,  air filter,  DNA,  airborne biological and chemical exposures,  exposome,  wearable device, }","air filter "
"SRS2845374","other","""nan""","{Uncultivated Erwinia persicina,  Phytophthora infestans,  metagenomic assembly,  metagenome-assembled genomes (MAGs),  }","bacteria metagenomic assembly"
"SRS2862295","water","""Korea, GPS""","{marine,  seawater,  Tongyeong-Geoje coastal area,  Korea,  phytoplankton,  }","seawater"
"SRS2863076","water","""USA: Wells Maine""","{Wells Beach,  marine water body,  marine beach,  surface,  Estuarine Ecosystem,  enterococci }","Wells Beach water"
"SRS2902281","plant","""Germany: Rottenburg am Neckar, Wendelsheim""","{phyllosphere,  area of developed space with high usage intensity,  public road,  plant matter,  Arabidopsis thaliana,  vegetative shoot system}","Arabidopsis thaliana leaf"
"SRS2927121","animal","""USA""","{human,  terrestrial biome,  human-skin,  Homo sapiens,  rectum,  female,  human vaginal,  }","female human rectum"
"SRS2940434","water","""nan""","{wastewater,  swine wastewater,  anaerobic lagoon system,  tiamulin-degrading bacteria}","anaerobic lagoon"
"SRS2997293","animal","""KohTao""","{coral reef,  Nudibranch,  Phyllidia varicosa,  coral reef systems}","Phyllidia varicosa"
"SRS3023047","soil","""Canada: Lake 9K, Kuujjuarapik""","{microbial mat,  20 cm,  lake,  High-Arctic,  subarctic microbial mats, }","Arctic microbial mat"
"SRS3026193","water","""USA: Mississippi River, Tunica, MS""","{Mississippi River,  aquatic,  Freshwater,  riverine}","Mississippi River water"
"SRS3032280","soil","""Indonesia: Jambi""","{soil,  oil palm plantation,  bulk soil,  clay acrisol,  monoculture plantations,  tropics,  }","oil-palm plantation soil"
"SRS3226217","soil","""United Kingdom: GPS""","{rhizosphere,  agricultural soil,  field,  nitrogen fertilization,  wheat,  Rothamsted Research,  }","wheat rhizosphere"
"SRS3235226","soil","""Russia: Kulunda Steppe""","{soda lake,  surface sediment,  Sulfur cycling,  Cock Soda lake,  South-Western Siberia}","soda lake sediment"
"SRS3242287","plant","""USA: Athens, GA""","{root,  greenhouse,  gallon pots,  field soil,  Setaria italica,  plant-associated}","Setaria italica roots"
"SRS3254180","other","""USA:New Hampshire""","{insect,  terrestrial,  roadway,  brood provision,  Ceratina calcarata,  brood provisions,  wild bee }","bee brood provisions"
"SRS3271657","water","""USA:Michigan""","{freshwater,  water body,  lake,  water, }","lake water"
"SRS3340296","other","""Norway""","{internal surface,  water main,  biofilm,  aquatic,  drinking water distribution system (DWDS),  }","Water-main biofilm"
"SRS3370792","animal","""USA: Indiana""","{skin,  Cryptobranchus alleganiensis,  host-associated,  captive eastern hellbenders,  bioaugmentation,  skin-associated}","hellbender skin swabs"
"SRS3393825","other","""Australia: Adelaide""","{wheat,  rhizosphere,  soil,  suppressive soils}","wheat soil"
"SRS3418398","other","""USA:Oregon""","{dust,  UV,  Daylight exposure,  household dust,  indoor dust,  }","UV exposed dust"
"SRS3425189","other","""USA:Tennessee""","{rumen fescue invitro,  rumen,  bovine,  Bos taurus,  endophyte-infected Lolium arundinaceum,  tall fescue,  in vitro system}","invitro rumen fescue "
"SRS3447977","soil","""USA: North Carolina""","{soil,  farming management,  conventional grain cropping (CON),  farming systems,  }","CON soil"
"SRS346171","soil","""Cuatro Cienegas Basin, Coahuila, Mexico ""","{River-proximate,  post-sterilization,  3 months, microbial succession following sterilization of soil plots, }","soil  "
"SRS3591196","animal","""Spain: Hoya de Guadix, Granada""","{Pine and almond plantations,  bird cloaca,  phosphate buffer,  Pica pica,  nestling,  host-associated,  brood parasites}","Pica pica cloaca"
"SRS3599461","animal","""Turkey:Istanbul""","{Axolotl,  Neotenic Limb,  DPA1,  Ambystoma mexicanum,  limb regeneration,  days post amputation,  wound epithelium}"," Axolotl wound epithelium"
"SRS3638564","other","""Sweden: Uppsala""","{Contamination,  amplicon library preparation, }","amplicon library preparation"
"SRS3677276","soil","""USA:TX,El Paso""","{drought tolerance, wheat,  rhizosphere,  desert scrubland,  organic material/soil,  Triticum aestivum subsp. Aestivum,  cultivar,  plant-associated,  host mediated microbiome engineering,  seedling}","engineered wheat cultivar"
"SRS3692831","soil","""Czech Republic: Oblik hill, Bohemian Massive Central""","{beech litter,   4 months,   grassland site,  leaf litter,  Fagus sylvatica,  litterbags,  }","beech leaf litter"
"SRS3696533","soil","""Tajikistan: Ozero Rangkul""","{freshwater sediment,  Bottom sediments,  small reservoirs,   benthic organism,  Eastern Pamirs}","reservoir bottom sediment"
"SRS3734031","soil","""Germany: Experimental Botanical Garden Goettingen""","{garden,  soil,  Nitrile-treated enrichment cultures,  compost soil,  compost}","compost soil"
"SRS3752476","other","""USA: Davis""","{human,  human-associated,  anthropogenic abiotic mesoscopic feature,  medical instrument,  feed tube,  feeding tube segments}","feeding tube segments"
"SRS3806267","other","""USA: Urban""","{Synthetic Zymo standard,  urban,  Artificial,  degenerate primer sets}","degenerate primer sets"
"SRS3824621","other","""China:Henan fugou""","{food fermentation,  dousheng }","dousheng "
"SRS391592","soil","""Taylor/Wright Valleys, Antarctica""","{Snow Patches,  Soil Microbial Communities,  Biogeochemical Cycling,   dry mineral soils associated with snow patches}","dry mineral soils"
"SRS3930231","plant","""USA: GPS""","{root,  Tomato Rhizobiome,  rootstocks,   grafting,  rhizobiomes, tomato plants}","tomato plant root"
"SRS3952392","soil","""Germany: Heidgraben""","{Nematode Communities,  Apple Replant Disease,  Soil,  Bulk soil,  apple,  new Malling 26 (M26) apple rootstocks}","bulk soil apple"
"SRS3962814","animal","""Russia: Petrozavodsk""","{human gut, intestine,  fecal material,  Homo sapiens,  stool samples,   young children,  HLA conferred risk for autoimmune diseases}","newborn stool sample"
"SRS3972029","soil","""USA: Poamoho, Hawaii""","{Soil ,  Oxisol Soil,  Oxisol,  Poamoho Agricultural Research Station,  napiergrass cultivation,  biochar-amended}","soil"
"SRS3985129","animal","""nan""","{gut,  mouse,  radiation therapy,  intestinal microbiome,  cancer }","fecal sample ?"
"SRS3985717","soil","""China:Nanjing Agricultural University""","{atrazine contaminated soil}","atrazine contaminated soil"
"SRS398895","soil","""Harpenden, GPS+, UK""","{soil metagenome,  No fertilizer or organic amendments,  }","soil "
"SRS3996362","soil","""Spain: Cordoba""","{Menya,  soil,  root,  World Olive Germplasm Bank,  Olea europaea L. subsp. Europaea,  root system}","root soil olives"
"SRS4034451","plant","""China: Yellow sea""","{algae,  golden tide,  S. horneri,  endophytes,  epiphytes}","Yellow Sea algae"
"SRS4047382","other","""USA: New York""","{mixed sample,  mock community,  Escherichia coli,  linked reads,  barcode deconvolution}","E.coli"
